"n","TW","S","h","z","w_fp","z_fp","n_fp","XS_spacing","L","b","A_bf","P_bf","Q_bf","Geometry","Qp","Qd","Geometry2","Run"
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",2.5,10,"001",1
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",3.5,10,"001",2
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",4.5,10,"001",3
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",2.5,30,"001",4
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",3.5,30,"001",5
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",4.5,30,"001",6
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",2.5,60,"001",7
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",3.5,60,"001",8
0.03,100,1e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,333.249534872744,"001",4.5,60,"001",9
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",2.5,10,"002",10
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",3.5,10,"002",11
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",4.5,10,"002",12
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",2.5,30,"002",13
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",3.5,30,"002",14
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",4.5,30,"002",15
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",2.5,60,"002",16
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",3.5,60,"002",17
0.03,300,1e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,1299.64769730696,"002",4.5,60,"002",18
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",2.5,10,"003",19
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",3.5,10,"003",20
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",4.5,10,"003",21
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",2.5,30,"003",22
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",3.5,30,"003",23
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",4.5,30,"003",24
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",2.5,60,"003",25
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",3.5,60,"003",26
0.03,1000,1e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,4708.13966195527,"003",4.5,60,"003",27
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",2.5,10,"004",28
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",3.5,10,"004",29
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",4.5,10,"004",30
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",2.5,30,"004",31
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",3.5,30,"004",32
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",4.5,30,"004",33
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",2.5,60,"004",34
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",3.5,60,"004",35
0.03,100,3e-04,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,577.20512599829,"004",4.5,60,"004",36
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",2.5,10,"005",37
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",3.5,10,"005",38
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",4.5,10,"005",39
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",2.5,30,"005",40
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",3.5,30,"005",41
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",4.5,30,"005",42
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",2.5,60,"005",43
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",3.5,60,"005",44
0.03,300,3e-04,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,2251.05584367555,"005",4.5,60,"005",45
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",2.5,10,"006",46
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",3.5,10,"006",47
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",4.5,10,"006",48
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",2.5,30,"006",49
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",3.5,30,"006",50
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",4.5,30,"006",51
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",2.5,60,"006",52
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",3.5,60,"006",53
0.03,1000,3e-04,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,8154.73710363669,"006",4.5,60,"006",54
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",2.5,10,"007",55
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",3.5,10,"007",56
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",4.5,10,"007",57
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",2.5,30,"007",58
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",3.5,30,"007",59
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",4.5,30,"007",60
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",2.5,60,"007",61
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",3.5,60,"007",62
0.03,100,0.001,5,4,60000,1e+05,0.05,250,150000,60,400,101.231056256177,1053.82755938958,"007",4.5,60,"007",63
0.03,300,0.001,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,4109.84687928306,"008",2.5,10,"008",64
0.03,300,0.001,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,4109.84687928306,"008",3.5,10,"008",65
0.03,300,0.001,5,4,60000,1e+05,0.05,250,150000,260,1400,301.231056256177,4109.84687928306,"008",4.5,10,"008",66
